smiles,docking_score
CCCC(O)CC1Cc2ccccc2C(=O)O1,-5.458
O=Cc1c(O)ccc2nc3ccccc3nc12,-8.929
Clc1cc(Cl)c2c(c1)COCO2,-6.905
CC1CCCC2C(OC=O)C(O)C3C(O)C12OC3(C)C,-1.76
C[C@H]1O[C@@]23C[C@@H]1C(=O)[C@H](O)[C@H]2[C@H](O)[C@H](O)[C@@H](O)[C@]3(C)O,-1.299
O=Cc1ccc(C(=O)O[C@H]2CN[C@H](C=O)C2)cc1,-7.155
Cc1cc2nc3[nH]c(=O)nc(O)c3nc2cc1C,-8.56
C[C@@]1(CO)O[C@]23C[C@H]1[C@H](O)[C@@H](O)[C@H]2C[C@H](O)C[C@@]3(C)O,-0.071
C[C@H](C=O)[C@@H](O)[C@H](C)C[C@](C)(O)C[C@@H](C)O,-5.204
NCCO[C@H]1CO[C@H](CO)C1,-5.027
CC(=O)OC1CC[C@](C)(O)[C@@]23C[C@@H](C(O)CC12)C(C)(C)O3,-5.315
C[C@H]1C=Cc2c(ccc3c2[nH]c2c(O)cc(C=O)cc23)O1,-9.637
CC(=O)O[C@@H]1[C@@H](O)[C@H](O)[C@H](O)O[C@@H]1CO,-5.031
COC1COC(O)C(O)C1C,-5.498
NC(=O)N1CCC[C@H]1COCC=O,-5.653
COC(=O)[C@H](N)C(C)C,-4.499
CCC/C(O)=N/[C@H](CC(C)C)[C@@H](O)CC=O,-5.966
O[C@@H]1[C@@H](O)[C@@H](O[C@@H]2COC[C@H](O)[C@@H]2O)OC[C@@H]1O,-4.675
O=CO[C@H]1[C@@H](O[C@H]2CCCCO2)O[C@H](CO)[C@H]1O,-4.278
NC(=O)Cc1cc(Cl)c(O)c(-c2ccc(O)cc2O)c1,-7.418
CCCCCCC=CCc1cc(O)cc(O)c1,-7.156
[CH2]CC(C)C(C)(O)C(C)O,-5.094
C/C=C\C(=O)O[C@H](C)CCCCC,-5.679
C[C@H]1O[C@@H](O[C@]2(O)CCO[C@H](O)C2)[C@H](O)[C@@H](O)[C@@H]1O,-5.331
O=Cc1cc(O)c(-c2cnc(O)c3cccc(O)c23)c(O)c1,-5.65
NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1,-6.509
O=CCC(c1c[nH][nH]c1=O)c1cc2ccccc2[nH]c1=O,-5.896
CC[C@H](C)C[C@H](CC=O)[C@@H](O)CCCC=O,-5.931
Oc1cccc(CCCc2cccc(O)c2)c1,-7.809
O=C1C=C(C(=O)OC2CCCOC2)CC(=O)C1=O,-6.414
C/C=C/C[C@H](OC(C)=O)[C@H](C)NC(C)=O,-5.67
CC(=O)O[C@H](C[C@@H](C)O)C1=C(C)C[C@@H](C=O)[C@H](C=O)[C@@H]1C,-4.259
CCc1cc(OC)ccc1-c1ccc2c(c1)OCO2,-7.851
CO[C@H]1C[C@H](OC)[C@@](C)(OC)O1,-4.069
CCC(=O)N1CCC[C@H]1/C(O)=N/C[C@@H](C)CC,-6.071
CC(=O)O[C@@H]1CO[C@@H](C)[C@H](OC(C)=O)C1,-5.357
CC/C(C)=C\CC[C@H](C)[C@H](O)OC,-6.01
C[C@@H](NC=O)C(=O)N[C@H](CCC(N)=O)C(N)=O,-6.148
COc1c(O)ccc2c1OC[C@H](O)[C@@H]2O,-6.235
O=C1NCC(=C(O)c2ccccc2)C1=O,-8.517
COc1ccc2c(c1)[C@H]1C[C@H](O)C=C3CCN(C2)[C@H]31,-6.325
CCC/C=C/C[C@@H](O)[C@H]1CC=CC(=O)O1,-6.852
N#CC1=CC[C@H](NC=O)[C@H](N)O1,-5.905
C[C@@H]1Cc2[nH]c(=N)[nH]c2C[C@@H]1CNC=O,-7.517
CO[C@@H]1C[C@H](O)O[C@@H](C)[C@@H]1O[C@H]1C[C@H](O)[C@H](O)[C@@H](C)O1,-3.65
COC(=O)C1=COC[C@@H]2[C@H]1C=C[C@]2(C)O,-4.994
C[C@]12O[C@H]1CO[C@H]2O,-4.109
CCC[C@@H](C)[C@H](C)CC=O,-5.293
C[C@@H]1[C@H](O)CC[C@H]2C[C@@H](O)[C@H]3[C@@H](O)[C@]21O[C@@H]3C,-1.697
c1cc2ccc3cccc4ncc(c1)c2c34,-8.499
CC(C)=CCCOC(=O)C[C@@H](O)[C@H](C)[C@@H]1CC[C@H](O)O1,-5.554
CC(=O)OCC12COC3(CCCC3)C(C(C)=CC1C)[C@@H]2C,-3.244
C[C@H](CO)OC(=O)[C@H](O)CO,-5.151
O=c1cc(O)n(-c2ccccc2)c(=O)[nH]1,-8.478
CC1OC(O)C(O)C1O,-4.825
C=C[C@@]1(C)C=C2[C@@H](CC1)[C@]1(C)CC(=O)C[C@H](C)[C@H]1C[C@@H]2O,-1.79
C[C@@H]1O[C@@H](O)[C@H](O[C@H]2OC[C@H](O)[C@@H](O)[C@H]2O)C[C@@H]1O,-5.334
CC(=O)c1ccc(C)c(O)c1,-6.756
C[C@@H](Oc1ccc2oc(=O)ccc2c1)C(=O)O,-8.041
O=CNC[C@@H](CO)OC=O,-4.552
CC(C)(O)c1cc2c(o1)C(=O)c1c(O)cccc1C2=O,-8.926
CCCCCc1c(CC)c(O)cc(O)c1OC(C)=O,-5.481
CC[C@@H](O)[C@H](C)[C@@H](O)[C@H](C)[C@H]1CC[C@H](C)CO1,-6.323
C[C@H]1C[C@@H](O[C@@H]2OC[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)O1,-3.751
C[C@@H]1O[C@@]23C[C@@H]1C(=O)C[C@@]2(C)[C@H](O)C[C@@H](O)[C@]3(C)O,-0.639
N=Cn1cc2ccnc-2o1,-5.914
COC(=O)CCC1=C(/C=C\O)C(=O)NC1=O,-6.845
NC(=O)Cc1ccc(O[C@@H]2CC[C@@H](O)CO2)cc1,-5.729
C/C(=C\[C@H](O)C(=O)/C(C)=C/[C@H]1C[C@H]1C)C[C@H](C)O,-6.87
COc1cc([N+](=O)[O-])cc2ccc(=O)oc12,-7.777
C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)OC[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O,-5.249
C=C(CCC=O)C[C@@H]1C[C@@H](C)C[C@H]1O,-6.334
CC/C=C\C/C=C\CCCC(=O)OC[C@H](O)CO,-6.541
